customer_id,line_id,product_type,agreement_number,eip_imei,usage_imei,imei_mismatch_flag,missing_usage_imei_flag,eip_mismatch_flag,upstream_friction_risk_flag,imei_anomaly_type
C0000001,LINE-000000002,voice,EIP-9958760590,710589983524631.0,401394058325965.0,1,0,0,1,
C0000008,LINE-000000020,5g_home_internet,EIP-7190725284,651804042544708.0,809450724611693.0,1,0,0,1,
C0000010,LINE-000000024,voice,EIP-3890813162,404498615149849.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000012,LINE-000000030,5g_home_internet,EIP-1653186667,569046320525945.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000017,LINE-000000042,voice,EIP-2216972099,22339196178277.0,636722205296701.0,1,0,0,1,imei_mismatch_swap
C0000017,LINE-000000043,voice,EIP-4344669339,636722205296701.0,22339196178277.0,1,0,0,1,imei_mismatch_swap
C0000031,LINE-000000078,voice,EIP-2127895307,934642934721994.0,770013613349085.0,1,0,0,1,
C0000035,LINE-000000088,voice,EIP-7319472672,805682674301345.0,219889830482081.0,1,0,0,1,
C0000035,LINE-000000089,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000039,LINE-000000101,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000040,LINE-000000104,5g_home_internet,EIP-4393658956,191214627425676.0,975262882504179.0,1,0,0,1,
C0000066,LINE-000000175,voice,EIP-9061611690,3952980819587.0,148982929153059.0,1,0,0,1,imei_mismatch_swap
C0000066,LINE-000000177,voice,EIP-9737280559,148982929153059.0,3952980819587.0,1,0,0,1,imei_mismatch_swap
C0000070,LINE-000000190,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000075,LINE-000000202,voice,EIP-6790302146,293429641034595.0,800327572970762.0,1,0,0,1,
C0000082,LINE-000000223,voice,EIP-9035523280,66653125009953.0,671792761059917.0,1,0,0,1,
C0000084,LINE-000000228,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000092,LINE-000000243,voice,EIP-5249191084,785391060190445.0,732125085945882.0,1,0,0,1,
C0000092,LINE-000000244,voice,EIP-8246760657,466190636675810.0,13708568609330.0,1,0,0,1,
C0000101,LINE-000000275,voice,EIP-1271658685,737447402461419.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000104,LINE-000000280,voice,EIP-4520078692,291745393496425.0,502598778391029.0,1,0,0,1,imei_mismatch_swap
C0000104,LINE-000000281,voice,EIP-5078720266,502598778391029.0,291745393496425.0,1,0,0,1,imei_mismatch_swap
C0000105,LINE-000000282,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000111,LINE-000000300,voice,EIP-2455453985,43585576951207.0,436662279832991.0,1,0,0,1,
C0000114,LINE-000000308,voice,EIP-7685704352,955626698216288.0,431016857711636.0,1,0,0,1,imei_mismatch_swap
